input_date,target
ஆமாம்,affirm
ஓகே,affirm
சரி,affirm
சரி சரி,affirm
சரிங்க,affirm
ஆமாம்ங்க,affirm
ஒகேங்க,affirm
ஆமாம்,affirm
ஆமா மேடம்,affirm
ஆமா மேடம்,affirm
சரி ஆமா,affirm
ஆமாம் ஐயா,affirm
சரி ஐயா,affirm
சரி மேடம்,affirm
ஆம்,affirm
ஆம் ஆம்,affirm
ஆமா,affirm
ஆமா மேடம்,affirm
சேரி,affirm
சேரி,affirm
சரி,affirm
சரி,affirm
எஸ்,affirm
ஆமாம் எஸ்,affirm
எஸ் மேடம் ,affirm
ஓகே மேடம்   ,affirm
ம்ம் ஓகே மேடம் ,affirm
சரி ,affirm
ஆமா ,affirm
ஆம் ,affirm
எஸ் ,affirm
ஆமாங்க ,affirm
ஆமாமா ,affirm
சரி சரி ,affirm
ஓகே ,affirm
ஓக்கே ,affirm
சரிதா ,affirm
சரிதான் சரிதான் ,affirm
சரிதா பா ,affirm
எஸ் மேடம் ,affirm
சரிசரி ,affirm
ஆமா மேடம் ,affirm
சரி மேடம் ,affirm
ஆமா ,affirm
சரி ம்மா ,affirm
ஆம் ,affirm
எஸ் ஆம் ,affirm
எஸ் ஆம் ஆம் ,affirm
ஓகே ஓகே ,affirm
ஓகே மா ,affirm
ஓகே ,affirm
சரி சரி ,affirm
ஆமா சார் ,affirm
ஆமாம் ஐயா  ,affirm
ஆமாம் ,affirm
ஓகே ,affirm
சரி ,affirm
சரி சரி ,affirm
சரிங்க ,affirm
ஆமாம்ங்க ,affirm
ஒகேங்க  ,affirm
ஆமாம் ,affirm
ஆமா ,affirm
ஆமாமா ,affirm
ஆமாஆமாமா ,affirm
எஸ்எஸ் எஸ் ,affirm
சரியா மேடம் ,affirm
சரி அம்மா ,affirm
ஆமா ஐயா ,affirm
ஆமா மேடம் ,affirm
ம்ம் ம்ம் ம்ம் ,affirm
ம்ம்ம்ம்ம்ம் ,affirm
ம்ம் ம்ம் ம்ம் ,affirm
ம்ம்ம்ம்ம்ம் ,affirm
ம்ம் ஓகே மேடம் ,affirm
ஓகேய்ங்க ,affirm
ம்ம் சேரி,affirm
ஓகே சேரி,affirm
ஓகேங்க சேரி,affirm
சரி சேரி,affirm
எஸ் சேரி,affirm
ஓகே ஓகே சேரி,affirm
ஹ்ம்ம் ஓகே மேடம்,affirm
ம்ம் ஓகேங்க மேடம்,affirm
ம்ம் ஓகே சரி மேடம்,affirm
எஸ் ம்ம் ஓகே மேடம்,affirm
ஓக்கே ஓக்கே,affirm
ஓக்கே ஓக்கே ஓக்கே,affirm
சரி ஓக்கே,affirm
சரிங்க ஓக்கே,affirm
எஸ் ஓக்கே,affirm
எஸ் ஓக்கே ஓக்கே,affirm
இல்ல இல்ல மேடம்,deny
இல்லைங்க  ,deny
இல்ல இல்லைங்க ,deny
இல்லைங்க மேம்,deny
இல்ல இல்ல மேம்  ,deny
இல்லைங்க நோ ,deny
நோ நோ மேடம் ,deny
நோ இல்ல ,deny
இல்ல   ,deny
இல்லே இல்லே  ,deny
இல்லை  ,deny
நோ  ,deny
இல்லை ,deny
ஐயா இல்லை  ,deny
இல்லை ஐயா ,deny
இல்லை மேம் ,deny
இல்லை இல்லை ,deny
இல்லை எனக்கு இல்லை ,deny
இல்லை இல்லை ,deny
இல்லை இல்லை ,deny
நன்றி இல்லை ,deny
நோ  இல்லைங்க,deny
இல்லை நன்றி ,deny
இல்லைங்க இல்லைங்க,deny
இல்லைங்க மேடம்,deny
இல்லைங்க மேடம் ,deny
இல்ல இல்ல மேடம்,deny
இல்லைங்க  ,deny
இல்ல இல்லைங்க ,deny
இல்லைங்க மேம்,deny
இல்ல இல்ல மேம்  ,deny
இல்லைங்க நோ ,deny
நோ நோ மேடம் ,deny
நோ இல்ல ,deny
நிச்சயமா இல்லை ,deny
இல்ல ,deny
இல்லவே இல்ல ,deny
இல்லே இல்லே,deny
இல்லை ,deny
இல்லை சாரி ,deny
இல்லை சார்,deny
இல்லைங்க ,deny
இல்லைங்க சாரி,deny
இல்லைங்களே ,deny
இல்லைம்மா ,deny
இல்லையே ,deny
இல்லையே மேடம் ,deny
சாரி நோ,deny
நோ  ,deny
நோ  நோ  ,deny
இல்லை  இல்லை ,deny
இல்லை மேம்,deny
இல்ல இல்லை மேடம் ,deny
இல்ல மேடம்,deny
இல்ல  ,deny
இல்லே இல்லே  ,deny
இல்லை  ,deny
இல்லை  இல்லை    ,deny
இல்லை இல்லை,deny
இல்லை எனக்கு இல்லை    ,deny
இல்லை ஐயா    ,deny
இல்லை நன்றி       ,deny
இல்லை மேம்    ,deny
இல்ல இல்ல மேடம்,deny
இல்லைங்க  ,deny
இல்ல இல்லைங்க ,deny
இல்லைங்க மேம்,deny
இல்ல இல்ல மேம்  ,deny
இல்லைங்க நோ ,deny
நோ நோ மேடம் ,deny
நோ இல்ல ,deny
மேடம் இல்லை மேடம்,deny
